,from,to,store,digital,preorder,Start Date,End Date,Task ID,Task Name,Resource
116,2020-12-04 16:15:00,2020-12-04 16:26:00,Playstation Direct ,False,False,1607098500000,1607099160000,116,Playstation Direct 2020-12-04T16:15:00 to 2020-12-04T16:26:00,Playstation Direct 
117,2020-12-03 17:44:00,2020-12-03 17:46:00,Playstation Direct ,False,False,1607017440000,1607017560000,117,Playstation Direct 2020-12-03T17:44:00 to 2020-12-03T17:46:00,Playstation Direct 
118,2020-12-03 17:41:00,2020-12-03 17:43:00,Playstation Direct ,False,False,1607017260000,1607017380000,118,Playstation Direct 2020-12-03T17:41:00 to 2020-12-03T17:43:00,Playstation Direct 
119,2020-12-03 17:34:00,2020-12-03 17:39:00,Playstation Direct ,False,False,1607016840000,1607017140000,119,Playstation Direct 2020-12-03T17:34:00 to 2020-12-03T17:39:00,Playstation Direct 
120,2020-12-03 07:24:00,2020-12-03 07:27:00,Target ,True,False,1606980240000,1606980420000,120,Target Digital Edition 2020-12-03T07:24:00 to 2020-12-03T07:27:00,Target 
121,2020-11-30 18:30:00,2020-11-30 18:41:00,Playstation Direct ,False,False,1606761000000,1606761660000,121,Playstation Direct 2020-11-30T18:30:00 to 2020-11-30T18:41:00,Playstation Direct 
122,2020-11-30 18:17:00,2020-11-30 18:28:00,Playstation Direct ,False,False,1606760220000,1606760880000,122,Playstation Direct 2020-11-30T18:17:00 to 2020-11-30T18:28:00,Playstation Direct 
123,2020-11-25 19:50:00,2020-11-25 20:25:00,Playstation Direct ,False,False,1606333800000,1606335900000,123,Playstation Direct 2020-11-25T19:50:00 to 2020-11-25T20:25:00,Playstation Direct 
124,2020-11-25 19:54:00,2020-11-25 20:06:00,Playstation Direct ,True,False,1606334040000,1606334760000,124,Playstation Direct Digital Edition 2020-11-25T19:54:00 to 2020-11-25T20:06:00,Playstation Direct 
125,2020-11-22 06:24:00,2020-11-22 06:36:00,Best Buy ,True,False,1606026240000,1606026960000,125,Best Buy Digital Edition 2020-11-22T06:24:00 to 2020-11-22T06:36:00,Best Buy 
126,2020-11-20 11:50:00,2020-11-20 11:56:00,Target ,True,False,1605873000000,1605873360000,126,Target Digital Edition 2020-11-20T11:50:00 to 2020-11-20T11:56:00,Target 
127,2020-11-19 16:49:00,2020-11-19 16:51:00,Playstation Direct ,False,False,1605804540000,1605804660000,127,Playstation Direct 2020-11-19T16:49:00 to 2020-11-19T16:51:00,Playstation Direct 
128,2020-11-19 16:33:00,2020-11-19 16:46:00,Playstation Direct ,True,False,1605803580000,1605804360000,128,Playstation Direct Digital Edition 2020-11-19T16:33:00 to 2020-11-19T16:46:00,Playstation Direct 
129,2020-11-19 15:04:00,2020-11-19 15:12:00,Walmart ,True,False,1605798240000,1605798720000,129,Walmart Digital Edition 2020-11-19T15:04:00 to 2020-11-19T15:12:00,Walmart 
130,2020-11-19 15:03:00,2020-11-19 15:11:00,Walmart ,False,False,1605798180000,1605798660000,130,Walmart 2020-11-19T15:03:00 to 2020-11-19T15:11:00,Walmart 
131,2020-11-18 18:35:00,2020-11-18 18:46:00,Playstation Direct ,False,False,1605724500000,1605725160000,131,Playstation Direct 2020-11-18T18:35:00 to 2020-11-18T18:46:00,Playstation Direct 
132,2020-11-18 02:10:00,2020-11-18 02:19:00,Target ,False,False,1605665400000,1605665940000,132,Target 2020-11-18T02:10:00 to 2020-11-18T02:19:00,Target 
133,2020-11-17 14:34:00,2020-11-17 14:50:00,Playstation Direct ,False,False,1605623640000,1605624600000,133,Playstation Direct 2020-11-17T14:34:00 to 2020-11-17T14:50:00,Playstation Direct 
134,2020-11-16 14:49:00,2020-11-16 15:03:00,B&H Photo ,False,True,1605538140000,1605538980000,134,B&H Photo Preorder 2020-11-16T14:49:00 to 2020-11-16T15:03:00,B&H Photo 
135,2020-11-16 10:14:00,2020-11-16 10:32:00,Playstation Direct ,False,False,1605521640000,1605522720000,135,Playstation Direct 2020-11-16T10:14:00 to 2020-11-16T10:32:00,Playstation Direct 
136,2020-11-16 10:15:00,2020-11-16 10:31:00,Playstation Direct ,True,False,1605521700000,1605522660000,136,Playstation Direct Digital Edition 2020-11-16T10:15:00 to 2020-11-16T10:31:00,Playstation Direct 
137,2020-11-13 17:53:00,2020-11-13 17:57:00,Playstation Direct ,False,False,1605289980000,1605290220000,137,Playstation Direct 2020-11-13T17:53:00 to 2020-11-13T17:57:00,Playstation Direct 
138,2020-11-13 17:19:00,2020-11-13 17:21:00,Playstation Direct ,False,False,1605287940000,1605288060000,138,Playstation Direct 2020-11-13T17:19:00 to 2020-11-13T17:21:00,Playstation Direct 
139,2020-11-13 17:13:00,2020-11-13 17:15:00,Playstation Direct ,False,False,1605287580000,1605287700000,139,Playstation Direct 2020-11-13T17:13:00 to 2020-11-13T17:15:00,Playstation Direct 
140,2020-11-13 16:56:00,2020-11-13 17:01:00,Playstation Direct ,True,False,1605286560000,1605286860000,140,Playstation Direct Digital Edition 2020-11-13T16:56:00 to 2020-11-13T17:01:00,Playstation Direct 
141,2020-11-13 16:24:00,2020-11-13 16:30:00,Playstation Direct ,False,False,1605284640000,1605285000000,141,Playstation Direct 2020-11-13T16:24:00 to 2020-11-13T16:30:00,Playstation Direct 
142,2020-11-12 21:00:00,2020-11-12 21:10:00,Walmart ,False,False,1605214800000,1605215400000,142,Walmart 2020-11-12T21:00:00 to 2020-11-12T21:10:00,Walmart 
143,2020-11-12 21:00:00,2020-11-12 21:02:00,Walmart ,True,False,1605214800000,1605214920000,143,Walmart Digital Edition 2020-11-12T21:00:00 to 2020-11-12T21:02:00,Walmart 
144,2020-11-12 18:18:00,2020-11-12 18:21:00,Amazon ,True,False,1605205080000,1605205260000,144,Amazon Digital Edition 2020-11-12T18:18:00 to 2020-11-12T18:21:00,Amazon 
145,2020-11-12 18:14:00,2020-11-12 18:14:00,Amazon ,True,False,1605204840000,1605204840000,145,Amazon Digital Edition 2020-11-12T18:14:00 to 2020-11-12T18:14:00,Amazon 
146,2020-11-12 18:06:00,2020-11-12 18:12:00,Amazon ,False,False,1605204360000,1605204720000,146,Amazon 2020-11-12T18:06:00 to 2020-11-12T18:12:00,Amazon 
147,2020-11-12 18:03:00,2020-11-12 18:11:00,Walmart ,False,False,1605204180000,1605204660000,147,Walmart 2020-11-12T18:03:00 to 2020-11-12T18:11:00,Walmart 
148,2020-11-12 18:03:00,2020-11-12 18:03:00,Walmart ,False,False,1605204180000,1605204180000,148,Walmart 2020-11-12T18:03:00 to 2020-11-12T18:03:00,Walmart 
149,2020-11-12 15:05:00,2020-11-12 15:15:00,Playstation Direct ,False,False,1605193500000,1605194100000,149,Playstation Direct 2020-11-12T15:05:00 to 2020-11-12T15:15:00,Playstation Direct 
150,2020-11-12 15:06:00,2020-11-12 15:14:00,Walmart ,False,False,1605193560000,1605194040000,150,Walmart 2020-11-12T15:06:00 to 2020-11-12T15:14:00,Walmart 
151,2020-11-12 15:05:00,2020-11-12 15:11:00,Playstation Direct ,True,False,1605193500000,1605193860000,151,Playstation Direct Digital Edition 2020-11-12T15:05:00 to 2020-11-12T15:11:00,Playstation Direct 
152,2020-11-12 12:00:00,2020-11-12 12:04:00,Walmart ,True,False,1605182400000,1605182640000,152,Walmart Digital Edition 2020-11-12T12:00:00 to 2020-11-12T12:04:00,Walmart 
153,2020-11-12 04:03:00,2020-11-12 04:09:00,Target ,False,False,1605153780000,1605154140000,153,Target 2020-11-12T04:03:00 to 2020-11-12T04:09:00,Target 
154,2020-11-12 03:15:00,2020-11-12 03:21:00,Target ,False,False,1605150900000,1605151260000,154,Target 2020-11-12T03:15:00 to 2020-11-12T03:21:00,Target 
155,2020-11-12 01:44:00,2020-11-12 01:50:00,Target ,False,False,1605145440000,1605145800000,155,Target 2020-11-12T01:44:00 to 2020-11-12T01:50:00,Target 
156,2020-11-12 00:03:00,2020-11-12 00:24:00,Sam's Club ,False,False,1605139380000,1605140640000,156,Sam's Club 2020-11-12T00:03:00 to 2020-11-12T00:24:00,Sam's Club 
157,2020-11-11 22:15:00,2020-11-11 22:21:00,Sam's Club ,False,False,1605132900000,1605133260000,157,Sam's Club 2020-11-11T22:15:00 to 2020-11-11T22:21:00,Sam's Club 
